Profile,Landform,subLandform,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
86,Lower_slope,Mid-slope,500472,6406189,117.005,-32.48152,B1,B,10-35,10,35,22.5,64.0,89.9,0.8,9.3,1.570,0.800,0.040,19.100,6.36,4.78,22.11,2.9,0.1,2.1,0.1,0.5,0.1
87,Valley_floor,Lower_slope,500369,6406448,117.0039,-32.47919,B1,B,15-42,15,42,28.5,10.0,70.8,25.6,3.6,1.830,0.200,0.030,7.200,6.09,4.74,44,1.5,1.1,0.6,0.1,0.4,0.2
88,Valley_floor,NA,500517,6406387,117.0055,-32.47974,B1,B,2-42,2,42,22,14.6,46.5,9.8,43.7,NA,0.500,0.040,10.600,5.45,3.77,1255,19.8,0.4,0.4,0.1,13.5,10.5
89,Mid-slope,NA,499731,6407110,116.9971,-32.47322,B1,B,14-22,14,22,18,16.5,80.2,11.9,7.9,1.415,0.900,0.070,13.200,5.85,4.72,55.3,5.8,0.1,2,0.3,0.5,0.2
90,Upper_slope,Mid-slope,499965,6407206,116.9996,-32.47235,B1,B,15-25,15,25,20,33.1,81.8,13.5,4.8,1.360,1.300,0.040,36.600,5.90,4.82,116.2,4.4,0.2,3.2,0.3,0.5,0.1
91,Residual,NA,499990,6407578,116.9999,-32.46899,B1,B,10-50,10,50,30,NA,46.0,11.2,42.7,NA,0.000,0.450,18.800,6.59,5.45,769,4.8,0.1,0.1,0.3,1.6,6.3
92,Residual,NA,499992,6407442,116.9999,-32.47022,B2.1,B2,21-89,21,89,55,53.2,79.2,10.8,10.0,NA,0.000,0.980,25.300,5.85,5.09,19.06,4.4,0.1,0.1,0.005,3.5,0.3
93,Nonresid_upland,NA,496966,6406015,116.9677,-32.48309,B1,B,29-54,29,54,41.5,3.9,91.8,4.5,3.7,1.514,3.190,0.183,3.373,6.49,4.93,23.8,1.4,0,0.5,0,0.4,0.2
94,Upper_slope,NA,497408,6405271,116.9724,-32.4898,B1,B,10-20,10,20,15,16.4,94.7,0.1,5.2,1.559,1.100,0.076,14.470,6.15,4.87,27.2,5.4,0.1,3.7,0.2,1.3,0.2
95,Residual,NA,498190,6405398,116.9807,-32.48866,B2.1,B2,37-47,37,47,42,7.4,67.2,16.8,16.0,1.349,1.420,0.079,17.970,4.53,4.27,810.0,3,0.7,0,0,3.2,2.2
96,Mid-slope,NA,498021,6406009,116.9789,-32.48315,B1,B,45-63,45,63,54,9.5,90.6,3.3,6.1,1.778,0.070,0.018,3.890,6.92,5.53,41.6,1.1,0,0.2,0,1,0.2
